"No.","Time","Source","Destination","Protocol","Length","Info"
"7294","27.529097","192.168.3.218","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7296","27.574670","fe80::8c60:ef1:492f:c559","ff02::1:3","LLMNR","84","Standard query 0x2f2b  A wpad"
"7297","27.574758","192.168.18.88","224.0.0.252","LLMNR","64","Standard query 0x2f2b  A wpad"
"7303","27.600818","10.10.10.119","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7308","27.617851","192.168.14.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7311","27.628354","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7313","27.643809","192.168.9.208","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7316","27.660057","10.10.13.64","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7319","27.673957","fe80::b547:5a06:7a20:ef7d","ff02::1:2","DHCPv6","145","Solicit XID: 0x67a655 CID: 000100011d45408968f7288645a4 "
"7321","27.683467","fe80::8c60:ef1:492f:c559","ff02::1:3","LLMNR","84","Standard query 0x2f2b  A wpad"
"7322","27.683496","192.168.18.88","224.0.0.252","LLMNR","64","Standard query 0x2f2b  A wpad"
"7324","27.717962","fe80::f68e:38ff:fe87:40d3","ff02::1:2","DHCPv6","159","Rebind XID: 0xc5c607 CID: 00044e8ff0fbe63074824b0a4962a323efa8 IAA: fd05:cc42:1c2::444 "
"7325","27.741228","192.168.5.223","192.168.31.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"7326","27.743924","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0x26bf  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"7327","27.743952","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0x26bf  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"7330","27.763737","192.168.9.73","224.0.0.252","LLMNR","64","Standard query 0xb21f  A wpad"
"7331","27.768063","10.10.15.46","224.0.0.251","MDNS","182","Standard query response 0x0000  PTR, cache flush linux-77.local AAAA, cache flush fe80::ca1f:66ff:fe05:ae37"
"7336","27.804162","192.168.9.41","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"7340","27.835452","192.168.9.131","192.168.31.255","NBNS","92","Name query NB ISATAP<00>"
"7342","27.844933","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"7346","27.877991","192.168.3.243","192.168.31.255","NBNS","92","Name query NB BING.COM<00>"
"7347","27.886523","192.168.18.88","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7349","27.889379","192.168.3.148","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7353","27.915141","192.168.17.85","192.168.31.255","NBNS","92","Name query NB SSL.GSTATIC.COM<00>"
"7355","27.920014","192.168.17.85","192.168.31.255","NBNS","92","Name query NB WWW.GOOGLE.COM<00>"
"7358","27.940251","169.254.216.53","169.254.255.255","BROWSER","219","Request Announcement DSPLAB"
"7359","27.940278","169.254.216.53","169.254.255.255","BROWSER","219","Request Announcement DSPLAB"
"7360","27.940289","169.254.216.53","169.254.255.255","BROWSER","249","Domain/Workgroup Announcement DMM, NT Workstation, Domain Enum"
"7365","27.955456","192.168.11.251","192.168.11.255","BROWSER","243","Local Master Announcement DESKTOP-CON47EI, Workstation, Server, Print Queue Server, NT Workstation, Potential Browser, Master Browser"
"7366","27.969074","192.168.17.71","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7367","27.971446","192.168.16.157","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"7370","28.003359","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7375","28.035479","fe80::6522:e4eb:3e43:9a64","ff02::1:3","LLMNR","84","Standard query 0x8bf3  A wpad"
"7376","28.035725","192.168.3.109","224.0.0.252","LLMNR","64","Standard query 0x8bf3  A wpad"
"7377","28.045450","192.168.9.73","224.0.0.252","LLMNR","75","Standard query 0xf368  AAAA WIN-JJVQTFUFFR8"
"7378","28.045498","192.168.9.73","224.0.0.252","LLMNR","72","Standard query 0x9c09  AAAA principal-pc"
"7380","28.050101","192.168.16.26","192.168.16.255","NBNS","110","Registration NB WORKGROUP<1e>"
"7381","28.050172","192.168.16.26","192.168.16.255","NBNS","92","Name query NB WORKGROUP<1c>"
"7382","28.051663","192.168.16.26","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"7383","28.073421","10.10.14.110","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7384","28.075236","192.168.15.151","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7385","28.076889","192.168.4.101","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"7386","28.091822","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7387","28.093607","10.10.15.173","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7388","28.111906","192.168.3.246","192.168.31.255","NBNS","92","Name query NB YAHOO.COM<00>"
"7391","28.122171","fe80::193c:fef3:81c1:763f","ff02::1:2","DHCPv6","147","Solicit XID: 0x83e9df CID: 00010001206aa4b0ec8eb5421a27 "
"7393","28.135684","fe80::6522:e4eb:3e43:9a64","ff02::1:3","LLMNR","84","Standard query 0x8bf3  A wpad"
"7394","28.135728","192.168.3.109","224.0.0.252","LLMNR","64","Standard query 0x8bf3  A wpad"
"7395","28.141630","169.254.216.53","169.254.255.255","NBNS","92","Name query NB UM07.ESET.COM<00>"
"7397","28.167604","192.168.3.221","192.168.3.255","NBNS","92","Name query NB ISATAP<00>"
"7398","28.176755","192.168.9.146","192.168.31.255","BROWSER","248","Domain/Workgroup Announcement APPLIED SCIENCE, NT Workstation, Domain Enum"
"7406","28.250418","10.10.10.75","255.255.255.255","DB-LSP-DISC","175","Dropbox LAN sync Discovery Protocol"
"7407","28.252255","10.10.10.75","10.10.15.255","DB-LSP-DISC","175","Dropbox LAN sync Discovery Protocol"
"7411","28.286424","192.168.5.63","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7425","28.335692","192.168.3.109","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7428","28.337379","192.168.16.26","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"7439","28.347338","10.10.11.62","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"7440","28.350803","192.168.3.153","192.168.3.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"7442","28.367680","192.168.14.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7444","28.378405","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7448","28.413165","fe80::709b:2977:8afd:eb1","ff02::c","SSDP","510","NOTIFY * HTTP/1.1 "
"7449","28.418146","fe80::1aa6:f7ff:fed2:17d","ff02::1:2","DHCPv6","128","Solicit XID: 0x1e5f8c CID: 00010001215f162118a6f7d2017d "
"7453","28.466859","192.168.9.73","224.0.0.252","LLMNR","72","Standard query 0x9c09  AAAA principal-pc"
"7454","28.466916","192.168.9.73","224.0.0.252","LLMNR","75","Standard query 0xf368  AAAA WIN-JJVQTFUFFR8"
"7457","28.489480","192.168.5.223","192.168.31.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"7460","28.529163","10.10.14.78","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7462","28.537767","10.10.14.112","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0x433893e6"
"7470","28.595158","192.168.9.131","192.168.31.255","NBNS","92","Name query NB ISATAP<00>"
"7471","28.601168","192.168.16.26","239.255.255.250","SSDP","492","NOTIFY * HTTP/1.1 "
"7472","28.601194","fe80::709b:2977:8afd:eb1","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"7473","28.601213","192.168.16.26","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"7475","28.609388","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"7478","28.626837","fe80::709b:2977:8afd:eb1","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"7479","28.626867","192.168.16.26","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"7480","28.626879","fe80::709b:2977:8afd:eb1","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"7481","28.626890","192.168.16.26","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"7482","28.638767","192.168.17.85","192.168.31.255","NBNS","92","Name query NB SSL.GSTATIC.COM<00>"
"7484","28.646508","10.10.13.64","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7485","28.650614","192.168.18.88","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7486","28.654385","192.168.17.85","192.168.31.255","NBNS","92","Name query NB WWW.GOOGLE.COM<00>"
"7487","28.656435","fe80::9ade:d0ff:fefe:1fe3","ff02::1:2","DHCPv6","128","Solicit XID: 0x1011bb CID: 00010001215f405598ded0fe1fe3 "
"7494","28.708773","10.10.13.62","224.0.0.252","LLMNR","72","Standard query 0xac55  ANY VlsiAdmin-PC"
"7497","28.734210","192.168.17.71","224.0.0.252","LLMNR","75","Standard query 0x8e6a  AAAA WIN-JJVQTFUFFR8"
"7504","28.780489","192.168.16.26","239.255.255.250","SSDP","535","NOTIFY * HTTP/1.1 "
"7506","28.798026","fe80::709b:2977:8afd:eb1","ff02::c","SSDP","562","NOTIFY * HTTP/1.1 "
"7507","28.798056","192.168.16.26","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"7508","28.798067","192.168.16.26","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7509","28.798073","fe80::709b:2977:8afd:eb1","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"7510","28.812646","10.10.13.62","224.0.0.252","LLMNR","72","Standard query 0x7e08  ANY VlsiAdmin-PC"
"7512","28.830271","10.10.14.78","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7514","28.838463","192.168.15.151","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7515","28.841846","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7516","28.841973","192.168.4.101","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"7517","28.842719","192.168.17.71","224.0.0.252","LLMNR","75","Standard query 0x8e6a  AAAA WIN-JJVQTFUFFR8"
"7518","28.861264","192.168.3.246","192.168.31.255","NBNS","92","Name query NB YAHOO.COM<00>"
"7522","28.900499","192.168.16.26","192.168.16.255","NBNS","92","Name query NB WORKGROUP<1c>"
"7523","28.902089","192.168.16.26","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"7525","28.907635","169.254.216.53","169.254.255.255","NBNS","92","Name query NB UM05.ESET.COM<00>"
"7534","28.991227","10.10.13.62","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7537","29.050751","fe80::1da4:7b84:4336:15d3","ff02::c","SSDP","153","M-SEARCH * HTTP/1.1 "
"7538","29.050785","192.168.3.153","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"7541","29.051548","10.10.10.123","10.10.15.255","UDP","63","Source port: 57660  Destination port: 32412"
"7543","29.051712","10.10.10.123","10.10.15.255","UDP","63","Source port: 57659  Destination port: 32414"
"7545","29.085457","192.168.3.109","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7548","29.088503","10.10.14.44","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0xb497aee6"
"7549","29.090239","10.10.15.46","224.0.0.251","MDNS","122","Standard query response 0x0000  PTR, cache flush linux-77.local A, cache flush 10.10.15.46"
"7551","29.097582","192.168.3.153","192.168.3.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"7560","29.143010","10.10.14.78","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7569","29.239542","192.168.5.223","192.168.31.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"7574","29.283800","192.168.5.63","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7581","29.359478","192.168.9.131","192.168.31.255","NBNS","92","Name query NB ISATAP<00>"
"7584","29.386078","192.168.3.210","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"7585","29.392776","192.168.7.193","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"7586","29.397257","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7587","29.403919","192.168.17.85","192.168.31.255","NBNS","92","Name query NB SSL.GSTATIC.COM<00>"
"7588","29.414929","192.168.18.88","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7589","29.419742","192.168.17.85","192.168.31.255","NBNS","92","Name query NB WWW.GOOGLE.COM<00>"
"7593","29.443449","fe80::1da4:7b84:4336:15d3","ff02::c","SSDP","185","M-SEARCH * HTTP/1.1 "
"7594","29.443481","192.168.3.153","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"7596","29.453610","192.168.14.206","192.168.31.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"7608","29.571071","192.168.3.153","239.255.255.250","UDP","666","Source port: 50074  Destination port: ws-discovery"
"7610","29.572947","fe80::1da4:7b84:4336:15d3","ff02::c","UDP","686","Source port: 50075  Destination port: ws-discovery"
"7613","29.577363","fe80::ca1f:66ff:fe05:ae37","ff02::1:2","DHCPv6","124","Solicit XID: 0xbf1650 CID: 000453ae0da36e2255ece18cf64e35c7d6cf "
"7615","29.580883","10.10.12.118","224.0.0.252","LLMNR","70","Standard query 0x61a4  ANY SEL_Server"
"7616","29.583624","10.10.12.118","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7619","29.602876","192.168.15.151","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7620","29.606411","192.168.4.101","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"7625","29.611346","192.168.3.246","192.168.31.255","NBNS","92","Name query NB YAHOO.COM<00>"
"7630","29.632254","10.10.10.123","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"7633","29.635080","192.168.3.153","192.168.3.255","BROWSER","216","Get Backup List Request"
"7634","29.635112","192.168.3.153","192.168.3.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7635","29.635570","192.168.5.70","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7637","29.639255","10.10.13.64","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7640","29.659718","fe80::1da4:7b84:4336:15d3","ff02::c","UDP","686","Source port: 50075  Destination port: ws-discovery"
"7641","29.670422","169.254.216.53","169.254.255.255","NBNS","92","Name query NB UM05.ESET.COM<00>"
"7642","29.689302","10.10.13.168","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7647","29.706466","192.168.3.221","192.168.3.255","NBNS","92","Name query NB ADMIN-PC<00>"
"7650","29.719442","192.168.3.153","239.255.255.250","UDP","666","Source port: 50074  Destination port: ws-discovery"
"7653","29.753847","192.168.7.28","192.168.31.255","BROWSER","216","Get Backup List Request"
"7654","29.753884","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7656","29.757734","192.168.16.26","239.255.255.250","SSDP","549","NOTIFY * HTTP/1.1 "
"7658","29.770306","10.10.15.46","224.0.0.251","MDNS","182","Standard query response 0x0000  PTR, cache flush linux-77.local AAAA, cache flush fe80::ca1f:66ff:fe05:ae37"
"7659","29.770347","10.10.12.204","224.0.0.251","MDNS","276","Standard query 0x0000  ANY 6.4.a.1.9.2.e.f.f.f.4.c.5.4.a.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY linux-34.local, ""QM"" question ANY 204.12.10.10.in-addr.arpa, ""QM"" question"
"7660","29.771111","10.10.13.161","224.0.0.251","MDNS","137","Standard query response 0x0000  AAAA, cache flush fe80::ca1f:66ff:fe05:e8a9 HINFO, cache flush X86_64 LINUX A, cache flush 10.10.13.161"
"7661","29.771153","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"7667","29.824610","fe80::8127:21ac:9828:c2e0","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"7669","29.835555","192.168.3.109","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7670","29.847547","192.168.3.153","192.168.3.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"7685","29.999428","10.10.12.118","224.0.0.252","LLMNR","70","Standard query 0x61a4  ANY SEL_Server"
"7694","30.125516","fe80::193c:fef3:81c1:763f","ff02::1:2","DHCPv6","147","Solicit XID: 0x83e9df CID: 00010001206aa4b0ec8eb5421a27 "
"7695","30.125571","10.10.10.135","224.0.0.251","MDNS","103","Standard query 0x0003  PTR _8DA7527D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"7696","30.126220","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"7698","30.135764","192.168.3.210","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"7701","30.153801","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7702","30.156625","192.168.7.193","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"7709","30.216658","192.168.14.206","192.168.31.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"7711","30.236929","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"7716","30.279345","192.168.3.218","192.168.31.255","BROWSER","216","Get Backup List Request"
"7717","30.279385","192.168.3.218","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7721","30.287253","192.168.5.63","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7732","30.377850","192.168.3.153","192.168.3.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7733","30.382894","192.168.15.27","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7735","30.400293","192.168.4.101","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"7739","30.424666","192.168.28.35","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"7740","30.434806","169.254.216.53","169.254.255.255","NBNS","92","Name query NB UM05.ESET.COM<00>"
"7746","30.503479","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7748","30.529093","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7749","30.545029","192.168.28.35","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"7758","30.599563","10.10.10.119","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7767","30.634308","192.168.5.70","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7786","30.885734","192.168.3.210","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"7788","30.918188","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"7789","30.920943","192.168.7.193","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"7795","30.981188","192.168.14.206","192.168.31.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"7797","30.987742","192.168.16.157","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"7802","31.029125","192.168.3.218","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7808","31.083169","192.168.9.87","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7810","31.104336","10.10.15.173","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7811","31.109356","10.10.14.110","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7814","31.127457","192.168.3.153","192.168.3.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7816","31.140776","fe80::7189:7de0:474f:9a5a","ff02::1:2","DHCPv6","149","Solicit XID: 0xf94f71 CID: 00010001208015f7f04da2fddd2f "
"7817","31.151750","192.168.4.101","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"7822","31.200831","169.254.216.53","169.254.255.255","NBNS","92","Name query NB UM02.ESET.COM<00>"
"7826","31.253833","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7829","31.278540","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7833","31.359320","192.168.15.113","192.168.31.255","NBNS","92","Name query NB YAHOO.COM<00>"
"7835","31.376589","10.10.12.59","10.10.15.255","NBNS","92","Name query NB DSP11<20>"
"7844","31.479208","192.168.3.140","192.168.31.255","BROWSER","243","Host Announcement EDLAB-20, Workstation, Server, NT Workstation, Potential Browser"
"7846","31.499914","fe80::e899:472b:c46e:3052","ff02::1:2","DHCPv6","154","Solicit XID: 0x1dd5e8 CID: 00010001213ad0f3484d7ec54728 "
"7848","31.515654","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"7849","31.515737","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x1c1c  A wpad"
"7850","31.515811","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x1c1c  A wpad"
"7851","31.515900","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0xda64  AAAA wpad"
"7852","31.515942","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0xda64  AAAA wpad"
"7854","31.547629","10.10.14.112","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0x433893e6"
"7858","31.634396","192.168.5.70","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7860","31.665087","10.10.10.91","10.10.15.255","NBNS","92","Name query NB EDLAB13<20>"
"7861","31.684062","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"7872","31.779110","192.168.3.218","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1b>"
"7874","31.831205","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0xda64  AAAA wpad"
"7875","31.831263","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x1c1c  A wpad"
"7876","31.831356","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0xda64  AAAA wpad"
"7877","31.831437","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x1c1c  A wpad"
"7878","31.841757","192.168.14.218","192.168.15.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"7880","31.845617","192.168.9.87","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7883","31.881918","192.168.3.153","192.168.3.255","BROWSER","216","Get Backup List Request"
"7884","31.881951","192.168.3.153","192.168.3.255","NBNS","92","Name query NB EDLAB<1b>"
"7889","31.916170","192.168.4.101","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"7892","31.963747","169.254.216.53","169.254.255.255","NBNS","92","Name query NB UM02.ESET.COM<00>"
"7895","31.996232","10.10.13.62","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"7899","32.021845","10.10.15.37","224.0.0.251","MDNS","228","Standard query 0x0000  PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"7900","32.021892","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"7902","32.028671","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7903","32.048890","fe80::1da4:7b84:4336:15d3","ff02::c","SSDP","153","M-SEARCH * HTTP/1.1 "
"7904","32.048937","192.168.3.153","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"7908","32.076433","fe80::9de0:89cb:6141:1c52","ff02::1:2","DHCPv6","148","Solicit XID: 0x8b0957 CID: 000100011e70bbd8001d7d25bc8f "
"7909","32.108990","192.168.15.113","192.168.31.255","NBNS","92","Name query NB YAHOO.COM<00>"
"7912","32.126279","10.10.12.59","10.10.15.255","NBNS","92","Name query NB DSP11<20>"
"7914","32.133501","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"7916","32.147752","fe80::7189:7de0:474f:9a5a","ff02::1:2","DHCPv6","149","Solicit XID: 0xf94f71 CID: 00010001208015f7f04da2fddd2f "
"7924","32.276661","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0x0435  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"7925","32.276715","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0x0435  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"7929","32.326656","10.10.13.224","10.10.10.1","DNS","86","Standard query 0x5d72  A tiles.services.mozilla.com"
"7930","32.326664","10.10.13.224","10.10.10.1","DNS","86","Standard query 0x9093  AAAA tiles.services.mozilla.com"
"7931","32.326675","10.10.13.224","10.10.10.1","DNS","86","Standard query 0x1c0b  A tiles.services.mozilla.com"
"7932","32.328298","10.10.10.1","10.10.13.224","DNS","180","Standard query response 0x5d72  CNAME tiles.r53-2.services.mozilla.com A 35.167.184.4 A 52.38.199.186 A 52.10.50.117"
"7933","32.328324","10.10.10.1","10.10.13.224","DNS","132","Standard query response 0x9093  CNAME tiles.r53-2.services.mozilla.com"
"7934","32.328330","10.10.10.1","10.10.13.224","DNS","180","Standard query response 0x1c0b  CNAME tiles.r53-2.services.mozilla.com A 52.10.50.117 A 35.167.184.4 A 52.38.199.186"
"7945","32.414888","10.10.10.91","10.10.15.255","NBNS","92","Name query NB EDLAB13<20>"
"7946","32.447045","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"7948","32.483972","10.10.13.224","10.10.10.1","DNS","83","Standard query 0x5b6a  A start.fedoraproject.org"
"7951","32.497388","fe80::1da4:7b84:4336:15d3","ff02::c","SSDP","185","M-SEARCH * HTTP/1.1 "
"7952","32.497423","192.168.3.153","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"7957","32.528729","10.10.13.224","10.10.10.1","DNS","65","Standard query 0xae12  A me.me"
"7959","32.528774","10.10.13.224","10.10.10.1","DNS","65","Standard query 0x70f2  A me.me"
"7960","32.528780","10.10.13.224","10.10.10.1","DNS","65","Standard query 0x6b52  AAAA me.me"
"7961","32.529445","10.10.10.1","10.10.13.224","DNS","65","Standard query response 0x6b52 "
"7962","32.531988","10.10.13.77","10.10.10.1","DHCP","350","DHCP Request  - Transaction ID 0x34b0aa9f"
"7965","32.550215","fe80::709b:2977:8afd:eb1","ff02::1:2","DHCPv6","150","Solicit XID: 0xf6e0d8 CID: 000100011f5eb4ed507b9dfd4e02 "
"7966","32.550243","192.168.16.26","192.168.16.255","NBNS","110","Registration NB WORKGROUP<1e>"
"7967","32.550304","192.168.16.26","192.168.16.255","NBNS","92","Name query NB WORKGROUP<1c>"
"7969","32.550650","192.168.16.26","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
