"No.","Time","Source","Destination","Protocol","Length","Info"
"36607","163.708079","10.10.10.91","10.10.15.255","NBNS","92","Name query NB EDLAB13<20>"
"36608","163.712293","192.168.3.117","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0x6e88141"
"36611","163.737090","192.168.4.101","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36612","163.738616","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0xfa40  A wpad"
"36613","163.738667","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0xfa40  A wpad"
"36614","163.738850","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x365f  AAAA wpad"
"36615","163.738884","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x365f  AAAA wpad"
"36621","163.755995","192.168.3.153","192.168.3.255","NBNS","92","Name query NB 4NBIZAC8.RU<00>"
"36625","163.792534","192.168.20.140","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"36626","163.812184","192.168.20.5","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"36629","163.828074","192.168.3.24","192.168.3.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"36637","163.909932","10.10.11.189","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"36638","163.927385","192.168.3.190","192.168.31.255","NBNS","92","Name query NB 4NBIZAC8.RU<00>"
"36647","164.000941","fe80::9ade:d0ff:fefe:1fe3","ff02::1:2","DHCPv6","128","Solicit XID: 0xe8cdb CID: 00010001215f40df98ded0fe1fe3 "
"36648","164.002339","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36649","164.005746","10.10.13.73","224.0.0.252","LLMNR","67","Standard query 0xde42  AAAA pict-pc"
"36650","164.010151","192.168.1.25","192.168.1.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36656","164.041049","192.168.9.72","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"36657","164.047014","10.10.10.123","10.10.15.255","UDP","63","Source port: 57660  Destination port: 32412"
"36658","164.047163","10.10.10.123","10.10.15.255","UDP","63","Source port: 57659  Destination port: 32414"
"36661","164.069185","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"36663","164.115894","192.168.3.243","192.168.31.255","NBNS","92","Name query NB ZIBRAVOPL.RU<00>"
"36668","164.156898","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0x6706  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"36669","164.156928","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0x6706  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"36670","164.161755","192.168.15.162","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36671","164.171031","10.10.14.19","224.0.0.251","MDNS","82","Standard query 0x0000  PTR _pgpkey-hkp._tcp.local, ""QM"" question"
"36672","164.171772","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"36678","164.260353","192.168.15.115","192.168.15.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"36681","164.295557","192.168.9.72","192.168.31.255","NBNS","92","Name query NB OFFICE-38F3BA65<20>"
"36683","164.308681","10.10.14.87","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"36686","164.338042","192.168.9.250","192.168.31.255","BROWSER","251","Domain/Workgroup Announcement EXAM, NT Workstation, Domain Enum"
"36688","164.348272","fe80::a4c8:1065:a975:7518","ff02::1:3","LLMNR","84","Standard query 0x0eff  A wpad"
"36689","164.348579","192.168.17.150","224.0.0.252","LLMNR","64","Standard query 0x0eff  A wpad"
"36691","164.377335","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36696","164.449551","fe80::a4c8:1065:a975:7518","ff02::1:3","LLMNR","84","Standard query 0x0eff  A wpad"
"36697","164.449593","192.168.17.150","224.0.0.252","LLMNR","64","Standard query 0x0eff  A wpad"
"36704","164.504810","192.168.3.153","192.168.3.255","NBNS","92","Name query NB 4NBIZAC8.RU<00>"
"36705","164.510991","192.168.9.131","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36710","164.571109","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0x6706  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"36711","164.571140","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0x6706  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"36713","164.592494","192.168.3.24","192.168.3.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"36716","164.652749","192.168.17.150","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
